,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
75,The Lives of Others,(2006),137 min,8.4,89        ,"34,709",$11.29M,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
76,Oldboy,(2003),120 min,8.4,77        ,"34,709",$0.71M,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
77,Memento,(2000),113 min,8.4,80        ,"34,709",$25.54M,A man with short-term memory loss attempts to track down his wife's murderer.
78,American Beauty,(1999),122 min,8.4,84        ,"34,709",$130.10M,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
79,Princess Mononoke,(1997),134 min,8.4,76        ,"34,709",$2.38M,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
80,Braveheart,(1995),178 min,8.4,68        ,"34,709",$75.60M,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
81,Come and See,(1985),142 min,8.4,****,"34,709",#101,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
82,Aliens,(1986),137 min,8.4,84        ,"34,709",$85.16M,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
83,Amadeus,(1984),160 min,8.4,88        ,"34,709",$51.97M,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
84,Indiana Jones and the Raiders of the Lost Ark,(1981),115 min,8.4,85        ,"34,709",$248.16M,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
85,The Boat,(1981),149 min,8.4,86        ,"34,709",$11.49M,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror."
86,The Shining,(1980),146 min,8.4,66        ,"34,709",$44.02M,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
87,High and Low,(1963),143 min,8.4,90        ,"34,709",#92,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
88,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),95 min,8.4,97        ,"34,709",$0.28M,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
89,Witness for the Prosecution,(1957),116 min,8.4,****,"34,709",$8.18M,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
90,Paths of Glory,(1957),88 min,8.4,90        ,"34,709",#61,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
91,Sunset Blvd.,(1950),110 min,8.4,****,"34,709",#60,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
92,The Great Dictator,(1940),125 min,8.4,****,"34,709",$0.29M,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
93,Hamilton,(2020),160 min,8.3,90        ,"34,709",#119,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
94,Raatchasan,(2018),170 min,8.3,****,"34,709",%^%^%^,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.
95,Ayla: The Daughter of War,(2017),125 min,8.3,****,"34,709",%^%^%^,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »"
96,Dangal,(2016),161 min,8.3,****,"34,709",$12.39M,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
97,Drishyam,(2013),160 min,8.3,****,"34,709",%^%^%^,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
98,The Hunt,(2012),115 min,8.3,77        ,"34,709",$0.69M,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
99,A Separation,(2011),123 min,8.3,95        ,"34,709",$7.10M,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
100,Incendies,(2010),131 min,8.3,80        ,"34,709",$6.86M,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
